description,category,merchant_group
POS Acme payroll,Salary,Acme payroll
CARD Acme payroll,Salary,Acme payroll
ONLINE Acme payroll,Salary,Acme payroll
TXN Acme payroll,Salary,Acme payroll
POS Northstar salary,Salary,Northstar salary
CARD Northstar salary,Salary,Northstar salary
ONLINE Northstar salary,Salary,Northstar salary
TXN Northstar salary,Salary,Northstar salary
POS Orbit wages,Salary,Orbit wages
CARD Orbit wages,Salary,Orbit wages
ONLINE Orbit wages,Salary,Orbit wages
TXN Orbit wages,Salary,Orbit wages
POS Brightline payroll,Salary,Brightline payroll
CARD Brightline payroll,Salary,Brightline payroll
ONLINE Brightline payroll,Salary,Brightline payroll
TXN Brightline payroll,Salary,Brightline payroll
POS Studio salary,Salary,Studio salary
CARD Studio salary,Salary,Studio salary
ONLINE Studio salary,Salary,Studio salary
TXN Studio salary,Salary,Studio salary
POS Delta payroll,Salary,Delta payroll
CARD Delta payroll,Salary,Delta payroll
ONLINE Delta payroll,Salary,Delta payroll
TXN Delta payroll,Salary,Delta payroll
POS UPI transfer,Transfer,UPI transfer
CARD UPI transfer,Transfer,UPI transfer
ONLINE UPI transfer,Transfer,UPI transfer
TXN UPI transfer,Transfer,UPI transfer
POS NEFT transfer,Transfer,NEFT transfer
CARD NEFT transfer,Transfer,NEFT transfer
ONLINE NEFT transfer,Transfer,NEFT transfer
TXN NEFT transfer,Transfer,NEFT transfer
POS IMPS transfer,Transfer,IMPS transfer
CARD IMPS transfer,Transfer,IMPS transfer
ONLINE IMPS transfer,Transfer,IMPS transfer
TXN IMPS transfer,Transfer,IMPS transfer
POS RTGS transfer,Transfer,RTGS transfer
CARD RTGS transfer,Transfer,RTGS transfer
ONLINE RTGS transfer,Transfer,RTGS transfer
TXN RTGS transfer,Transfer,RTGS transfer
POS fund transfer,Transfer,fund transfer
CARD fund transfer,Transfer,fund transfer
ONLINE fund transfer,Transfer,fund transfer
TXN fund transfer,Transfer,fund transfer
POS mobile transfer,Transfer,mobile transfer
CARD mobile transfer,Transfer,mobile transfer
ONLINE mobile transfer,Transfer,mobile transfer
TXN mobile transfer,Transfer,mobile transfer
POS ATM cash withdrawal,Cash withdrawal,ATM cash withdrawal
CARD ATM cash withdrawal,Cash withdrawal,ATM cash withdrawal
ONLINE ATM cash withdrawal,Cash withdrawal,ATM cash withdrawal
TXN ATM cash withdrawal,Cash withdrawal,ATM cash withdrawal
POS cash wdl kiosk,Cash withdrawal,cash wdl kiosk
CARD cash wdl kiosk,Cash withdrawal,cash wdl kiosk
ONLINE cash wdl kiosk,Cash withdrawal,cash wdl kiosk
TXN cash wdl kiosk,Cash withdrawal,cash wdl kiosk
POS ATM terminal,Cash withdrawal,ATM terminal
CARD ATM terminal,Cash withdrawal,ATM terminal
ONLINE ATM terminal,Cash withdrawal,ATM terminal
TXN ATM terminal,Cash withdrawal,ATM terminal
POS cash withdrawal branch,Cash withdrawal,cash withdrawal branch
